N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv1,73855,50176,50176,23679,1478708.227624348,0,225792.0,1053696,150528,102760448,102760448,118013952,2846928,118013952,2846928,102760448,102760448,54377680,51380224,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 112), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,20229,1568,1568,18661,373915.528597504,65536,0.0,1835008,131072,25690112,25690112,3211264,3211264,3211264,3211264,25690112,25690112,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (14, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",of,Weight Stationary,2864,1048576.0,786432.0,786432.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,57961,47040,47040,10921,1218445.812237312,0,2654208.0,12386304,1769472,231211008,231211008,86704128,4157440,86704128,4157440,231211008,231211008,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (3, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,7481,1176,1176,6305,119998.029687808,196608,0.0,393216,393216,12845056,12845056,2408448,2408448,2408448,2408448,12845056,12845056,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",of,Weight Stationary,2864,1048576.0,786432.0,786432.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,8617,2352,2352,6265,164161.341284352,0,442368.0,2064384,294912,9633792,9633792,7225344,2408448,7225344,2408448,9633792,9633792,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 192), 'OC/oc': (1, 96)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,14205,10976,10976,3229,250597.56707379202,0,2654208.0,12386304,1769472,51380224,51380224,21676032,1935360,21676032,1935360,51380224,51380224,10127360,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (1, 96), 'OC/oc': (2, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,3426,588,588,2838,53994.161703424004,49152,0.0,196608,196608,3211264,3211264,2408448,2408448,2408448,2408448,3211264,3211264,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",of,Weight Stationary,2864,524288.0,393216.0,393216.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,4138,1568,1568,2570,51894.31770112,0,307200.0,204800,204800,4816896,4816896,5017600,262144,5017600,262144,4816896,4816896,2072576,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (2, 8), 'OC/oc': (1, 32)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,4582,588,588,3994,75626.399379968,98304,0.0,393216,393216,6422528,6422528,2408448,2408448,2408448,2408448,6422528,6422528,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",of,Weight Stationary,2864,524288.0,393216.0,393216.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,11580,3136,3136,8444,221675.605454848,0,786432.0,3670016,524288,19267584,19267584,6422528,3211264,6422528,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (2, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,11580,3136,3136,8444,221675.605454848,0,786432.0,3670016,524288,19267584,19267584,6422528,3211264,6422528,3211264,19267584,19267584,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (2, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3,25288,21168,21168,4120,429351.001202688,3538944,0.0,14155776,14155776,183042048,183042048,86704128,2097152,86704128,2097152,183042048,183042048,15269888,9633792,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (2, 64), 'OC/oc': (6, 32)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",of,Weight Stationary,2864,524288.0,393216.0,393216.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5_reduce,5362,784,784,4578,85959.243698176,0,196608.0,131072,131072,3211264,3211264,3211264,3211264,3211264,3211264,3211264,3211264,4947968,1605632,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 28), 'IC/ic': (1, 256), 'OC/oc': (1, 32)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_5x5,11709,9408,9408,2301,187631.20828416003,0,1843200.0,17203200,1228800,24084480,24084480,30105600,1376256,30105600,1376256,24084480,24084480,7421952,4816896,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (1, 28), 'IC/ic': (4, 8), 'OC/oc': (1, 96)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_pool_proj,6912,1568,1568,5344,131248.321746944,0,393216.0,1835008,262144,9633792,9633792,3211264,3211264,3211264,3211264,9633792,9633792,6684672,3211264,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 128), 'OC/oc': (1, 64)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_1x1,6911,3136,3136,3775,138485.38056448,0,2949120.0,13762560,1966080,16056320,16056320,6021120,1505280,6021120,1505280,16056320,16056320,6682624,3211264,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (7, 2), 'IC/ic': (1, 480), 'OC/oc': (2, 128)}","('OH/oh', 'OC/oc', 'OW/ow', 'B/b', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_4a_3x3_reduce,4424,1176,1176,3248,63632.3290368,0,1105920.0,737280,737280,3612672,3612672,4515840,1505280,4515840,1505280,3612672,3612672,3446784,1204224,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 14), 'IC/ic': (1, 480), 'OC/oc': (3, 32)}","('OC/oc', 'B/b', 'OW/ow', 'IC/ic', 'OH/oh')",oc,Weight Stationary,2864,2097152.0,786432.0,1572864.0,0.0,0.0,1
