,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,64,64,3,12,GoogleNet,conv1,50173,1448816.625994794,21
1,64,64,3,12,GoogleNet,conv2_3x3_reduce,13727,380812.172658688,7
2,64,64,3,12,GoogleNet,conv2_3x3,38641,1253756.855322112,7
3,64,64,3,12,GoogleNet,inception_3a_1x1,5337,128476.812828672,3
4,128,32,3,12,GoogleNet,inception_3a_3x3_reduce,7313,169314.599986176,1
5,128,32,3,12,GoogleNet,inception_3a_3x3,15844,267296.961320448,4
6,64,32,6,12,GoogleNet,inception_3a_5x5_reduce,2446,57894.426164736,3
7,64,32,6,12,GoogleNet,inception_3a_5x5,2858,59011.53888896,1
8,64,32,6,12,GoogleNet,inception_3a_pool_proj,3269,81168.61090867201,3
9,64,32,6,12,GoogleNet,inception_3b_1x1,9609,245349.794132608,112
10,64,32,6,12,GoogleNet,inception_3b_3x3_reduce,9609,245349.794132608,112
11,64,32,6,12,GoogleNet,inception_3b_3x3,24774,485841.284376576,56
12,128,32,3,12,GoogleNet,inception_3b_5x5_reduce,3825,92605.428059648,2
13,64,32,6,12,GoogleNet,inception_3b_5x5,11199,201312.94052352,3
14,128,32,3,12,GoogleNet,inception_3b_pool_proj,6048,141400.66445209598,4
15,128,32,3,12,GoogleNet,inception_4a_1x1,5199,111937.67564928002,1
16,128,32,3,12,GoogleNet,inception_4a_3x3_reduce,2950,66821.49690624,1
17,64,32,6,12,GoogleNet,inception_4a_3x3,6710,155119.443806208,7
18,128,32,3,12,GoogleNet,inception_4a_5x5_reduce,1290,29103.86781792,1
19,64,64,3,12,GoogleNet,inception_4a_5x5,1293,25065.75154848,1
20,128,32,3,12,GoogleNet,inception_4a_pool_proj,2342,52535.89215168,2
21,64,64,3,12,GoogleNet,inception_4b_1x1,4827,102378.457065872,8
22,128,32,3,12,GoogleNet,inception_4b_3x3_reduce,3750,79434.01668473601,4
23,64,32,6,12,GoogleNet,inception_4b_3x3,7280,167802.95640057602,7
24,128,32,3,12,GoogleNet,inception_4b_5x5_reduce,1474,34400.588175072,4
25,128,32,3,12,GoogleNet,inception_4b_5x5,1875,36933.50302512,2
26,128,32,3,12,GoogleNet,inception_4b_pool_proj,2407,54443.032001792,8
27,128,32,3,12,GoogleNet,inception_4c_1x1,4011,86980.968169984,16
28,128,32,3,12,GoogleNet,inception_4c_3x3_reduce,4011,86980.968169984,16
29,128,32,3,12,GoogleNet,inception_4c_3x3,8839,192750.669447168,8
30,128,32,3,12,GoogleNet,inception_4c_5x5_reduce,1474,34400.588175072,4
31,128,32,3,12,GoogleNet,inception_4c_5x5,1875,36933.50302512,2
32,128,32,3,12,GoogleNet,inception_4c_pool_proj,2407,54443.032001792,8
33,128,32,3,12,GoogleNet,inception_4d_1x1,3750,79434.01668473601,4
34,128,32,3,12,GoogleNet,inception_4d_3x3_reduce,4547,93633.285305984,4
35,128,32,3,12,GoogleNet,inception_4d_3x3,11205,232596.478098432,9
36,128,32,3,12,GoogleNet,inception_4d_5x5_reduce,1605,38174.063917696,4
37,64,64,3,12,GoogleNet,inception_4d_5x5,2209,42647.60974016,1
38,128,32,3,12,GoogleNet,inception_4d_pool_proj,2407,54443.032001792,8
39,64,32,6,12,GoogleNet,inception_4e_1x1,6676,160345.538318784,8
40,64,64,3,12,GoogleNet,inception_4e_3x3_reduce,5066,104729.463322368,1
41,128,32,3,12,GoogleNet,inception_4e_3x3,13149,273244.931232,10
42,64,32,6,12,GoogleNet,inception_4e_5x5_reduce,1668,39809.118608448,1
43,64,64,3,12,GoogleNet,inception_4e_5x5,4301,82126.80383296,2
44,64,64,3,12,GoogleNet,inception_4e_pool_proj,4192,89844.715778496,2
