,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,3,3,GoogleNet,conv1,200686,1655259.939470634,28
1,32,32,3,3,GoogleNet,conv2_3x3_reduce,54904,392421.392975872,112
2,32,32,3,3,GoogleNet,conv2_3x3,156107,1563825.8055383042,28
3,32,32,3,3,GoogleNet,inception_3a_1x1,17198,136298.287094592,42
4,32,32,3,3,GoogleNet,inception_3a_3x3_reduce,22976,178431.56487475202,42
5,32,32,3,3,GoogleNet,inception_3a_3x3,38044,363139.303051776,14
6,32,32,3,3,GoogleNet,inception_3a_5x5_reduce,8332,68923.827478464,168
7,32,32,3,3,GoogleNet,inception_3a_5x5,11070,66787.98516992,1
8,32,32,3,3,GoogleNet,inception_3a_pool_proj,11221,90022.78706198401,168
9,32,32,3,3,GoogleNet,inception_3b_1x1,31072,260849.573356064,56
10,32,32,3,3,GoogleNet,inception_3b_3x3_reduce,31072,260849.573356064,56
11,32,32,3,3,GoogleNet,inception_3b_3x3,72105,606088.681399296,6
12,32,32,3,3,GoogleNet,inception_3b_5x5_reduce,12798,106060.940801312,56
13,32,32,3,3,GoogleNet,inception_3b_5x5,23354,243394.22413824,14
14,32,32,3,3,GoogleNet,inception_3b_pool_proj,18818,153792.16556345604,56
15,32,32,3,3,GoogleNet,inception_4a_1x1,17784,126269.90675328,15
16,32,32,3,3,GoogleNet,inception_4a_3x3_reduce,8986,73069.39165824,15
17,32,32,3,3,GoogleNet,inception_4a_3x3,19784,205788.575102208,14
18,32,32,3,3,GoogleNet,inception_4a_5x5_reduce,4226,35843.71358112,15
19,32,32,3,3,GoogleNet,inception_4a_5x5,5028,29350.22362848,1
20,32,32,3,3,GoogleNet,inception_4a_pool_proj,7155,58751.823167040006,15
21,32,32,3,3,GoogleNet,inception_4b_1x1,16500,115986.964455952,16
22,32,32,3,3,GoogleNet,inception_4b_3x3_reduce,13524,92567.606978704,16
23,32,32,3,3,GoogleNet,inception_4b_3x3,22114,226652.082792576,14
24,32,32,3,3,GoogleNet,inception_4b_5x5_reduce,4811,40779.729390784,16
25,32,32,3,3,GoogleNet,inception_4b_5x5,7356,44487.32734512,2
26,32,32,3,3,GoogleNet,inception_4b_pool_proj,7414,61271.667183376005,16
27,32,32,3,3,GoogleNet,inception_4c_1x1,14455,99886.156190344,16
28,32,32,3,3,GoogleNet,inception_4c_3x3_reduce,14455,99886.156190344,16
29,32,32,3,3,GoogleNet,inception_4c_3x3,24142,251023.028487168,8
