,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,64,32,3,6,GoogleNet,conv1,100344,1484787.165964074,14
1,64,32,3,6,GoogleNet,conv2_3x3_reduce,27453,384122.173334528,14
2,64,32,3,6,GoogleNet,conv2_3x3,77280,1337602.706007552,7
3,64,32,3,6,GoogleNet,inception_3a_1x1,8789,130265.109481728,84
4,64,32,3,6,GoogleNet,inception_3a_3x3_reduce,11678,171072.964128768,84
5,32,32,6,6,GoogleNet,inception_3a_3x3,20384,329321.208723456,4
6,64,32,3,6,GoogleNet,inception_3a_5x5_reduce,4166,64972.542046464,84
7,64,32,3,6,GoogleNet,inception_3a_5x5,5675,60438.20660992,1
8,64,32,3,6,GoogleNet,inception_3a_pool_proj,5611,85376.469369984,84
9,64,32,3,6,GoogleNet,inception_3b_1x1,15537,242608.34114806404,28
10,64,32,3,6,GoogleNet,inception_3b_3x3_reduce,15537,242608.34114806404,28
11,64,32,3,6,GoogleNet,inception_3b_3x3,32333,505882.05099417607,56
12,64,32,3,6,GoogleNet,inception_3b_5x5_reduce,6453,99865.850545312,112
13,64,32,3,6,GoogleNet,inception_3b_5x5,18684,295111.09991168,28
14,64,32,3,6,GoogleNet,inception_3b_pool_proj,9662,145747.928746304,112
15,32,32,6,6,GoogleNet,inception_4a_1x1,8892,122657.91771648,15
16,64,32,3,6,GoogleNet,inception_4a_3x3_reduce,5900,68774.89223424,1
17,64,32,3,6,GoogleNet,inception_4a_3x3,13360,161943.524878464,7
18,64,32,3,6,GoogleNet,inception_4a_5x5_reduce,2578,29991.38349792,1
19,64,32,3,6,GoogleNet,inception_4a_5x5,2584,26700.10066848,1
20,64,32,3,6,GoogleNet,inception_4a_pool_proj,4682,54993.95487168,2
21,32,32,6,6,GoogleNet,inception_4b_1x1,8251,112109.190550032,16
22,32,32,6,6,GoogleNet,inception_4b_3x3_reduce,6763,88649.85611278401,16
23,64,32,3,6,GoogleNet,inception_4b_3x3,14489,175605.134318208,7
24,64,32,3,6,GoogleNet,inception_4b_5x5_reduce,2947,35466.357375072,8
25,64,32,3,6,GoogleNet,inception_4b_5x5,3748,40006.081425120006,2
26,64,32,3,6,GoogleNet,inception_4b_pool_proj,4812,56921.083201792,16
27,32,32,6,6,GoogleNet,inception_4c_1x1,7320,97447.106526752,16
28,32,32,6,6,GoogleNet,inception_4c_3x3_reduce,7320,97447.106526752,16
29,64,32,3,6,GoogleNet,inception_4c_3x3,17403,215053.130247168,16
30,64,32,3,6,GoogleNet,inception_4c_5x5_reduce,2947,35466.357375072,8
31,64,32,3,6,GoogleNet,inception_4c_5x5,3748,40006.081425120006,2
32,64,32,3,6,GoogleNet,inception_4c_pool_proj,4812,56921.083201792,16
33,32,32,6,6,GoogleNet,inception_4d_1x1,6763,88649.85611278401,16
34,32,32,6,6,GoogleNet,inception_4d_3x3_reduce,7692,103311.940136064,16
35,64,32,3,6,GoogleNet,inception_4d_3x3,21778,260519.528178432,9
36,64,32,3,6,GoogleNet,inception_4d_5x5_reduce,3208,39413.089517696,8
37,64,32,3,6,GoogleNet,inception_4d_5x5,4417,45904.73598016,2
38,64,32,3,6,GoogleNet,inception_4d_pool_proj,4812,56921.083201792,16
39,64,32,3,6,GoogleNet,inception_4e_1x1,13352,165927.934752192,8
40,32,32,6,6,GoogleNet,inception_4e_3x3_reduce,8502,115105.534924512,14
41,64,32,3,6,GoogleNet,inception_4e_3x3,25597,307418.077632,10
42,64,32,3,6,GoogleNet,inception_4e_5x5_reduce,3335,40506.918162624,1
43,32,32,6,6,GoogleNet,inception_4e_5x5,7369,97961.47286464,4
44,32,32,6,6,GoogleNet,inception_4e_pool_proj,7347,101187.818105216,68
45,64,32,3,6,GoogleNet,inception_5a_1x1,5878,97534.254282368,104
46,64,32,3,6,GoogleNet,inception_5a_3x3_reduce,3967,64963.43425856,65
47,64,32,3,6,GoogleNet,inception_5a_3x3,8955,152573.76798627005,10
48,64,32,3,6,GoogleNet,inception_5a_5x5_reduce,1692,21535.674226816,13
49,64,32,3,6,GoogleNet,inception_5a_5x5,3623,38565.36932998,1
50,64,32,3,6,GoogleNet,inception_5a_pool_proj,4234,47651.86101820401,13
51,64,32,3,6,GoogleNet,inception_5b_1x1,8425,140962.014314112,156
52,64,32,3,6,GoogleNet,inception_5b_3x3_reduce,4603,75820.374266496,78
53,64,32,3,6,GoogleNet,inception_5b_3x3,12361,203852.216839296,6
54,64,32,3,6,GoogleNet,inception_5b_5x5_reduce,2121,23887.759131968,13
55,64,32,3,6,GoogleNet,inception_5b_5x5,3416,59198.51779823999,4
56,64,32,3,6,GoogleNet,inception_5b_pool_proj,4234,47651.86101820401,13
57,64,32,3,6,GoogleNet,fc,15421,221247.897079124,8
58,64,32,3,6,RESNET-50,conv1,100344,1484787.165964074,14
59,64,32,3,6,RESNET-50,conv2_1_a,27453,384122.173334528,14
60,64,32,3,6,RESNET-50,conv2_1_b,29103,492723.338011392,14
61,64,32,3,6,RESNET-50,conv2_1_c,99664,1403649.3592314883,28
62,64,32,3,6,RESNET-50,conv2_2_a,36766,544302.814911488,224
63,64,32,3,6,RESNET-50,conv2_2_b,29103,492723.338011392,14
64,64,32,3,6,RESNET-50,conv2_2_c,99664,1403649.3592314883,28
65,64,32,3,6,RESNET-50,conv2_3_a,36766,544302.814911488,224
66,64,32,3,6,RESNET-50,conv2_3_b,29103,492723.338011392,14
67,64,32,3,6,RESNET-50,conv2_3_c,99664,1403649.3592314883,28
68,64,32,3,6,RESNET-50,conv3_1_a,15538,256320.93401820803,3136
69,64,32,3,6,RESNET-50,conv3_1_b,25973,337189.710987264,4
70,64,32,3,6,RESNET-50,conv3_1_c,50408,732720.7537563841,14
71,64,32,3,6,RESNET-50,conv3_2_a,19019,321393.226724128,56
72,64,32,3,6,RESNET-50,conv3_2_b,25973,337189.710987264,4
73,64,32,3,6,RESNET-50,conv3_2_c,50408,732720.7537563841,14
74,64,32,3,6,RESNET-50,conv3_3_a,19019,321393.226724128,56
75,64,32,3,6,RESNET-50,conv3_3_b,25973,337189.710987264,4
76,64,32,3,6,RESNET-50,conv3_3_c,50408,732720.7537563841,14
77,64,32,3,6,RESNET-50,conv3_4_a,19019,321393.226724128,56
78,64,32,3,6,RESNET-50,conv3_4_b,25973,337189.710987264,4
79,64,32,3,6,RESNET-50,conv3_4_c,50408,732720.7537563841,14
80,64,32,3,6,RESNET-50,conv4_1_a,12860,172634.27542030404,784
81,64,32,3,6,RESNET-50,conv4_1_b,28124,343024.024974336,32
82,64,32,3,6,RESNET-50,conv4_1_c,28628,436072.12105377606,28
83,64,32,3,6,RESNET-50,conv4_2_a,18816,236855.855092736,128
84,64,32,3,6,RESNET-50,conv4_2_b,28124,343024.024974336,32
85,64,32,3,6,RESNET-50,conv4_2_c,28628,436072.12105377606,28
86,64,32,3,6,RESNET-50,conv4_3_a,18816,236855.855092736,128
87,64,32,3,6,RESNET-50,conv4_3_b,28124,343024.024974336,32
88,64,32,3,6,RESNET-50,conv4_3_c,28628,436072.12105377606,28
89,64,32,3,6,RESNET-50,conv4_4_a,18816,236855.855092736,128
90,64,32,3,6,RESNET-50,conv4_4_b,28124,343024.024974336,32
91,64,32,3,6,RESNET-50,conv4_4_c,28628,436072.12105377606,28
92,64,32,3,6,RESNET-50,conv4_5_a,18816,236855.855092736,128
93,64,32,3,6,RESNET-50,conv4_5_b,28124,343024.024974336,32
94,64,32,3,6,RESNET-50,conv4_5_c,28628,436072.12105377606,28
95,64,32,3,6,RESNET-50,conv4_6_a,18816,236855.855092736,128
96,64,32,3,6,RESNET-50,conv4_6_b,28124,343024.024974336,32
97,64,32,3,6,RESNET-50,conv4_6_c,28628,436072.12105377606,28
98,64,32,3,6,RESNET-50,conv5_1_a,11570,199599.97107203404,784
99,64,32,3,6,RESNET-50,conv5_1_b,38831,654324.6939460019,8
100,64,32,3,6,RESNET-50,conv5_1_c,28010,434646.35226631205,16
101,64,32,3,6,RESNET-50,conv5_2_a,20143,331532.276100162,4
